,year,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,Diverse,War
14,2010,USA,119755961,78397889,7036875,4847625,23072957,233111307,5942248,2476980,337770,0,0,0,0,0,2814750,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0,0
28,2010,CAN,7929127,14497030,785000,2722447,497500,26431104,340304,600000,70000,0,0,0,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0,0
36,2010,BHM,211798,43863,0,46996,0,302657,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0,0
50,2010,CUB,550000,6744696,0,0,112411,7407107,1500,0,0,0,0,0,0,8000,8000,0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,14540477,11241161,0,0
64,2010,HAI,976083,7027799,0,0,0,8003882,120,0,0,0,0,0,0,1750,1750,0,0,0,0,0,8527,0,0,0,4392374,0,976083,0,13382736,9760832,0,0
78,2010,DOM,1493497,7168786,0,0,0,8662283,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194797,99468,9857180,9956648,0,0
89,2010,JAM,1736000,58000,0,75000,105000,1974000,531,0,0,0,0,0,0,1513,1513,322,0,15961,0,0,209,0,0,0,0,0,572000,304094,2564536,2868630,0,0
100,2010,TRI,365100,285670,3500,75000,0,729270,0,0,0,0,0,0,0,65700,65700,0,0,240100,0,0,0,0,0,0,0,0,175640,94290,1210710,1305000,0,0
109,2010,BAR,101335,11464,0,72957,0,185756,30,0,0,0,0,0,0,2300,2300,120,0,1200,0,0,0,0,0,0,0,0,59184,40115,248590,288705,0,0
116,2010,DMA,10950,56210,0,0,0,67160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,1460,71540,73000,0,0
124,2010,GRN,23852,54209,0,16262,0,94323,0,0,0,0,0,0,0,526,526,0,0,263,0,0,157,0,0,0,0,0,5217,7933,100486,108419,0,0
131,2010,SLU,44116,100204,0,2624,4239,151183,0,0,0,0,0,0,0,164,164,0,0,492,0,0,0,0,0,0,0,0,9676,2485,161515,164000,0,0
138,2010,SVG,28288,63544,0,1664,0,93496,0,0,0,0,0,0,0,104,104,0,0,312,0,0,175,0,0,0,0,0,1976,7937,96063,104000,0,0
145,2010,AAB,43710,8690,4692,22333,0,79425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127,2348,84552,86900,0,0
151,2010,SKN,7500,12675,0,25350,0,45525,0,0,0,0,0,0,0,141,141,0,0,481,0,0,0,0,0,0,0,0,4500,53,50647,50700,0,0
165,2010,MEX,15886801,92924489,0,0,0,108811290,67476,0,0,0,0,0,0,3760,3760,0,0,0,0,0,0,0,0,0,35995,27839,3052509,337669,111998869,112336538,0,0
172,2010,BLZ,80829,123010,0,14016,6117,223972,0,0,0,0,0,0,0,577,577,757,0,612,0,0,202,0,0,0,0,0,47511,30475,273631,304106,0,0
186,2010,GUA,5529785,7603454,0,0,0,13133239,2000,2000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,2800,635050,49374,13775089,13824463,0,1
200,2010,HON,2560652,4561162,0,0,0,7121814,397,397,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,800203,79228,7922811,8002039,0,0
214,2010,SAL,1990591,4219188,0,0,0,6209779,648,0,0,0,0,0,0,2027,2027,0,0,0,0,0,0,0,0,0,0,27500,800563,171771,7040517,7212288,0,1
228,2010,NIC,1350661,3798734,93149,0,0,5242544,0,0,0,0,0,0,0,1602,1602,0,0,0,0,0,0,0,0,0,0,0,523963,53706,5768109,5821815,0,1
242,2010,COS,453444,3471000,0,1297,0,3925741,3800,0,0,0,0,0,0,0,0,1200,0,558,0,0,0,0,0,0,35000,1250,445000,37451,4412549,4450000,0,0
256,2010,PAN,805444,3361450,0,0,0,4166894,6590,0,0,0,0,0,0,13181,13181,16233,0,593,148,0,24856,0,0,0,3106,0,0,23399,4231601,4255000,0,0
270,2010,COL,6944250,37961900,3022,1475,0,44910647,8095,0,0,0,0,0,0,27740,27740,1619,0,8095,0,0,47225,0,0,0,1295,405206,694425,190653,46104347,46295000,0,1
284,2010,VEN,4325100,23067200,0,0,0,27392300,16515,0,0,0,0,0,0,29864,29864,12177,0,0,0,0,10000,0,0,0,6113,53700,1267254,46077,28787923,28834000,0,0
293,2010,GUY,191875,61400,5027,54492,115125,427919,29,0,0,0,0,0,0,57562,57562,0,0,226412,0,0,4850,0,0,0,1000,8500,38375,2854,764647,767501,0,0
301,2010,SUR,142632,129048,0,0,0,271680,290,0,0,0,0,0,0,110936,110936,0,0,155084,0,0,0,0,0,0,0,28000,0,10,565990,566000,1,0
315,2010,ECU,284183,12361961,0,0,184183,12830327,1000,0,0,0,0,0,0,1500,1500,7460,0,0,0,0,1720,0,0,0,0,35000,1207777,124367,14084784,14209151,0,0
329,2010,PER,3675330,23904351,0,0,0,27579681,3000,0,0,0,0,0,0,6000,6000,10200,0,0,0,0,10000,0,0,0,0,50000,1176105,567660,28834986,29402646,0,1
343,2010,BRA,51122554,113690456,0,0,3500000,168313010,107000,0,0,0,0,0,0,35167,35167,244000,0,5675,0,155951,41630,0,0,0,42016,4387383,16214243,1209725,189546075,190755800,0,0
357,2010,BOL,1373600,8340600,4400,1500,0,9720100,350,0,0,0,0,0,0,1031,1031,3836,0,0,0,0,0,0,0,0,773,162419,412492,11314,10301001,10312315,0,0
371,2010,PAR,258212,5680657,0,6455,193659,6138983,3208,0,0,0,0,0,0,3873,3873,14783,0,0,0,0,5600,0,0,0,0,29405,193658,65782,6389510,6455292,0,0
385,2010,CHL,1811913,12954191,341548,0,480000,15587652,20664,0,0,0,0,0,0,4500,4500,2700,0,0,0,0,0,0,0,0,2254,150000,1024644,285002,16792414,17077416,0,1
399,2010,ARG,4039999,30299994,53703,7013,0,34400709,275000,0,0,0,0,0,0,611000,611000,7236,0,1967,385,0,4651,0,0,162,145,30206,4847999,220532,40179460,40399992,0,1
413,2010,URU,369234,1580995,17021,710,778749,2746709,10070,0,0,0,0,0,0,1015,1015,32,0,0,0,0,4061,0,0,0,0,16,577348,17428,3339251,3356679,0,0
427,2010,UKG,4525200,4409825,259348,19791400,9971500,38957273,263000,2403000,297000,0,0,0,0,0,2700000,248827,4105,817000,423000,0,5021,4144,20000,0,226063,81782,16275000,2181661,60025215,62206876,0,0
